,Comparison of Desktop Intel® Processors ,,,,,,,,,,Last Revision : 2019.12.2,,,,,,,,,,,,,,,,
,Product Collection,Processor Number,Quarter Launch,Year launch,Lithography (nm),# of Cores,# of Threads,Processor Base Frequency (GHz),Cache (MB),TDP (W),Max Turbo Frequency (GHz),Intel® Turbo Boost Max Technology 3.0 Frequency (GHz),Memory Types,Max # of Memory Channels,Intel® Processor Graphics,Graphics Base Frequency (MHz),Graphics Max Dynamic Frequency (GHz),Sockets Supported,Intel® Turbo Boost Technology ,Intel® vPro™ Platform Eligibility,Intel® Hyper-Threading Technology ,Intel® Virtualization Technology  (VT-x),Enhanced Intel SpeedStep® Technology,Intel® Stable Image Platform Program (SIPP),Intel® Turbo Boost Max Technology 3.0,Intel® AES New Instructions,Intel® Memory Protection Extensions (Intel® MPX)
, X-series ,i7-6950X,Q2,2016,14,10,20,3.00,25,140,3.50,4.00,DDR4 2400/2133,4,N/A,N/A,N/A,FCLGA2011-3,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i7-6900K,Q2,2016,14,8,16,3.20,20,140,3.70,4.00,DDR4 2400/2133,4,N/A,N/A,N/A,FCLGA2011-3,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i7-6850K,Q2,2016,14,6,12,3.60,15,140,3.80,4.00,DDR4 2400/2133,4,N/A,N/A,N/A,FCLGA2011-3,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i7-6800K,Q2,2016,14,6,12,3.40,15,140,3.60,3.80,DDR4 2400/2133,4,N/A,N/A,N/A,FCLGA2011-3,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
,6th Gen  ,i3-6098P,Q4,2015,14,2,4,3.60,3,54,N/A,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  510,350,1.05,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i5-6402P,Q4,2015,14,4,4,2.80,6,65,3.40,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  510,350,0.95,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i3-6300,Q3,2015,14,2,4,3.80,4,51,N/A,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.15,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i3-6300T,Q3,2015,14,2,4,3.30,4,35,N/A,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,0.95,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i3-6320,Q3,2015,14,2,4,3.90,4,51,N/A,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.15,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i3-6100,Q3,2015,14,2,4,3.70,3,51,N/A,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, HD  530,350,1.05,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
